1,227,420
2,216,436
3,204,440
4,193,445
5,182,448
6,173,451
7,168,456
8,155,464
9,132,475
10,118,489
11,103,497
12,92,500
13,80,504
14,79,509
15,80,512
16,80,515
17,78,521
18,75,527
19,71,536
20,65,544
21,65,544
22,63,547
23,58,558
24,53,567
25,50,570
26,49,575
27,49,578
28,48,582
29,48,584
30,48,586
31,48,586
32,48,586
33,47,585
34,47,579
35,48,581
36,48,581
37,48,582
38,47,581
39,47,580
40,46,578
41,46,577
42,46,576
43,46,577
44,46,577
45,46,577
46,46,577
47,46,577
48,46,577
49,47,576
50,47,580
51,47,564
52,46,567
53,46,582
54,46,587
55,46,586
56,46,586
57,45,587
58,45,587
59,45,587
60,45,586
61,45,586
62,228,12
63,213,14
64,209,15
65,230,12
66,246,10
67,46,591
68,46,589
69,46,588
70,46,587
71,45,587
72,45,586
73,46,581
74,48,568
75,49,565
76,49,566
77,50,563
78,294,8
79,50,563
80,50,562
81,49,566
82,50,561
83,48,573
84,45,578
85,41,581
86,294,8
87,293,8
88,292,8
89,275,9
90,275,9
91,277,8
92,274,9
93,272,9
94,43,585
95,276,9
96,274,9
97,42,589
98,42,593
99,209,15
100,207,15
101,206,15
102,210,14
103,229,11
104,243,10
105,42,598
106,42,596
107,41,595
108,41,595
109,41,595
110,41,594
111,41,594
112,41,594
113,41,595
114,41,594
115,41,594
116,41,594
117,41,594
118,41,594
119,41,594
120,41,594
121,41,594
122,41,594
123,41,594
124,41,594
125,41,594
126,41,594
127,41,594
128,41,594
129,41,594
130,41,594
131,41,594
132,41,594
133,41,595
134,41,594
135,41,594
136,41,594
137,41,594
138,41,594
139,41,594
140,41,594
141,41,594
142,41,594
143,41,594
144,41,594
145,41,594
146,41,594
147,41,594
148,41,594
149,41,594
150,41,594
151,41,594
152,221,12
153,220,13
154,238,10
155,250,9
156,42,597
157,41,595
158,41,595
159,41,594
160,41,594
161,41,594
162,41,594
163,41,594
164,41,594
165,41,594
166,41,594
167,41,594
168,41,594
169,41,594
170,41,594
171,41,594
172,41,594
173,41,594
174,41,594
175,41,594
176,41,594
177,41,594
178,41,594
179,41,594
180,41,594
181,41,594
182,41,594
183,41,594
184,41,594
185,41,594
186,41,594
187,41,594
188,41,594
189,41,594
190,41,594
191,41,594
192,41,594
193,41,594
194,41,594
195,41,594
196,41,594
197,41,593
198,41,593
199,41,594
200,41,593
201,41,594
202,41,594
203,41,593
204,41,594
205,41,593
206,41,593
207,41,593
208,40,594
209,40,594
210,40,594
211,40,594
212,40,594
213,41,593
214,40,594
215,40,594
216,39,595
217,39,595
218,39,595
219,39,595
220,39,595
221,39,595
222,39,595
223,39,595
224,39,595
